"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2007,"Roxbury","Roxbury",329,626,11720835,20268865
2007,"South Boston","South Boston",528,1180,15435726,54808563
2007,"South Boston Waterfront","South Boston Waterfront",47,138,1835410,9685684
2007,"South End","South End",553,1276,22542241,44108452
2007,"West End","West End",131,341,5866206,14252880
2007,"West Roxbury","West Roxbury",415,825,8518375,13303519
2008,"Allston","Allston",227,556,6379709,19639419
2008,"Back Bay","Back Bay",325,1372,16636181,55270406
2008,"Beacon Hill","Beacon Hill",132,341,5398666,7308054
2008,"Brighton","Brighton",357,819,7779466,16109950
2008,"Charlestown","Charlestown",129,475,5452948,14789983
2008,"Chinatown","Chinatown",117,529,6332461,28563558
2008,"Dorchester","Dorchester",451,1321,10283246,31430243
2008,"Downtown","Downtown",428,2025,22532747,114741715
2008,"East Boston","East Boston",203,507,6129978,9066495
2008,"Fenway","Fenway",164,482,5916537,11209064
2008,"Hyde Park","Hyde Park",147,485,3018717,10702208
2008,"Jamaica Plain","Jamaica Plain",248,711,4647903,11165463
2008,"Longwood","Longwood",5,21,86187,1420162
2008,"Mattapan","Mattapan",89,228,2249947,2546467
2008,"Mission Hill","Mission Hill",62,197,3423646,4116559
2008,"North End","North End",190,726,7633244,33778905
2008,"Roslindale","Roslindale",207,459,4513827,7572261
2008,"Roxbury","Roxbury",135,505,5439656,17502708
2008,"South Boston","South Boston",293,1021,9922985,41565405
2008,"South Boston Waterfront","South Boston Waterfront",21,130,1677615,8169121
2008,"South End","South End",313,1107,9955018,33031600
2008,"West End","West End",69,255,1927671,10877955
2008,"West Roxbury","West Roxbury",241,665,7444613,9573588
2009,"Allston","Allston",82,241,5453788,12108337
2009,"Back Bay","Back Bay",124,624,9360942,36398507
2009,"Beacon Hill","Beacon Hill",55,135,2824359,5829091
2009,"Brighton","Brighton",134,355,5535084,10778209
2009,"Charlestown","Charlestown",58,192,3560160,7782135
2009,"Chinatown","Chinatown",50,263,4567912,26417975
2009,"Dorchester","Dorchester",208,664,11757124,20221544
2009,"Downtown","Downtown",178,1053,19507858,102108015
2009,"East Boston","East Boston",80,185,5274058,4058227
2009,"Fenway","Fenway",64,203,3551973,8128736
2009,"Hyde Park","Hyde Park",60,242,2064711,3685334
2009,"Jamaica Plain","Jamaica Plain",88,299,2282922,8484196
2009,"Longwood","Longwood",0,13,0,329691
2009,"Mattapan","Mattapan",25,105,972376,4356678
2009,"Mission Hill","Mission Hill",18,66,330730,1495822
2009,"North End","North End",66,376,7399373,25703024
2009,"Roslindale","Roslindale",72,211,3821601,2153382
2009,"Roxbury","Roxbury",51,236,4451459,13376108
2009,"South Boston","South Boston",108,472,6225246,37170332
2009,"South Boston Waterfront","South Boston Waterfront",10,58,544380,7524752
2009,"South End","South End",131,523,6730313,24935798
2009,"West End","West End",23,116,1560001,10237342
2009,"West Roxbury","West Roxbury",88,326,4717314,6633169
2010,"Allston","Allston",94,231,4765091,8669570
2010,"Back Bay","Back Bay",135,588,13698253,24077628
2010,"Beacon Hill","Beacon Hill",45,141,1648937,4054443
2010,"Brighton","Brighton",138,344,10978438,13997568
2010,"Charlestown","Charlestown",38,206,2882713,12780294
2010,"Chinatown","Chinatown",55,234,3203871,16999405
2010,"Dorchester","Dorchester",175,546,10159280,16500442
2010,"Downtown","Downtown",204,905,14874236,59930984
2010,"East Boston","East Boston",81,231,5101113,5354759
2010,"Fenway","Fenway",64,186,4666290,4685079
2010,"Hyde Park","Hyde Park",62,213,2074298,6473925
2010,"Jamaica Plain","Jamaica Plain",103,256,6117315,6331259
2010,"Longwood","Longwood",0,3,0,19852
2010,"Mattapan","Mattapan",22,94,865318,5777166
2010,"Mission Hill","Mission Hill",23,65,535205,1327004
2010,"North End","North End",89,310,8475594,13402655
2010,"Roslindale","Roslindale",55,179,919919,2443889
2010,"Roxbury","Roxbury",64,243,3628795,13705880
2010,"South Boston","South Boston",112,471,8760188,30996043
2010,"South Boston Waterfront","South Boston Waterfront",12,61,1263545,5354585
2010,"South End","South End",146,535,9021503,17239128
2010,"West End","West End",25,107,1082124,7071109
2010,"West Roxbury","West Roxbury",93,243,6020413,6508918
2011,"Allston","Allston",167,228,2992790,11213007
2011,"Back Bay","Back Bay",325,514,9184455,34892339
2011,"Beacon Hill","Beacon Hill",86,140,7807710,5038687
2011,"Brighton","Brighton",209,313,6707046,7837872
2011,"Charlestown","Charlestown",112,174,3334359,9433035
2011,"Chinatown","Chinatown",114,232,5012043,20161866
2011,"Dorchester","Dorchester",325,578,11350097,19894229
2011,"Downtown","Downtown",432,940,18533308,76463926
2011,"East Boston","East Boston",121,191,2834596,6503432
