"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
2000,"Zip Codes 02108-10","Zip Codes 02108-10",316,3113,141,322,244,309,56
2001,"Zip Code 02111","Zip Code 02111",120,437,97,117,74,103,17
2001,"Zip Code 02113","Zip Code 02113",72,30,10,13,11,26,3
2001,"Zip Code 02114","Zip Code 02114",91,421,132,63,52,66,18
2001,"Zip Code 02115","Zip Code 02115",146,191,82,76,21,76,46
2001,"Zip Code 02116","Zip Code 02116",295,986,182,210,105,380,42
2001,"Zip Code 02118","Zip Code 02118",76,208,85,50,152,80,29
2001,"Zip Code 02119","Zip Code 02119",41,65,60,60,74,59,35
2001,"Zip Code 02120","Zip Code 02120",13,36,57,20,5,12,19
2001,"Zip Code 02121","Zip Code 02121",11,15,31,25,24,30,29
2001,"Zip Code 02122","Zip Code 02122",53,101,56,72,105,88,35
2001,"Zip Code 02124","Zip Code 02124",39,75,125,86,71,74,54
2001,"Zip Code 02125","Zip Code 02125",50,79,47,55,77,72,31
2001,"Zip Code 02126","Zip Code 02126",28,30,33,35,33,54,20
2001,"Zip Code 02127","Zip Code 02127",83,129,41,82,189,69,23
2001,"Zip Code 02128","Zip Code 02128",99,117,50,75,198,97,23
2001,"Zip Code 02129","Zip Code 02129",40,163,30,49,105,35,13
2001,"Zip Code 02130","Zip Code 02130",72,149,142,90,72,68,62
2001,"Zip Code 02131","Zip Code 02131",45,70,52,59,66,75,18
2001,"Zip Code 02132","Zip Code 02132",46,116,58,62,91,78,18
2001,"Zip Code 02134","Zip Code 02134",84,148,38,63,78,90,12
2001,"Zip Code 02135","Zip Code 02135",87,212,128,85,101,84,48
2001,"Zip Code 02136","Zip Code 02136",29,79,47,69,127,53,26
2001,"Zip Code 02210","Zip Code 02210",38,387,20,34,220,39,8
2001,"Zip Code 02215","Zip Code 02215",145,206,88,70,33,75,26
2001,"Zip Codes 02108-10","Zip Codes 02108-10",312,3046,139,314,236,287,46
2002,"Zip Code 02111","Zip Code 02111",109,422,98,143,73,102,11
2002,"Zip Code 02113","Zip Code 02113",74,34,10,16,15,31,4
2002,"Zip Code 02114","Zip Code 02114",94,314,128,75,45,72,13
2002,"Zip Code 02115","Zip Code 02115",147,179,82,78,15,77,30
2002,"Zip Code 02116","Zip Code 02116",312,977,172,209,84,400,22
2002,"Zip Code 02118","Zip Code 02118",85,211,93,66,153,78,20
2002,"Zip Code 02119","Zip Code 02119",35,67,66,66,73,69,26
2002,"Zip Code 02120","Zip Code 02120",18,42,60,21,6,13,15
2002,"Zip Code 02121","Zip Code 02121",15,20,36,21,28,30,28
2002,"Zip Code 02122","Zip Code 02122",57,105,57,72,94,96,26
