"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2010,"25025010408","Census Tract 104.08",4,9,273020,112835
2010,"25025010500","Census Tract 105",11,22,633445,1017270
2010,"25025010600","Census Tract 106",21,128,4302596,4391171
2010,"25025010701","Census Tract 107.01",39,167,2750852,8367722
2010,"25025010702","Census Tract 107.02",44,191,3147436,9574077
2010,"25025010801","Census Tract 108.01",10,41,1443316,366578
2010,"25025010802","Census Tract 108.02",10,40,1420608,360811
2010,"25025020101","Census Tract 201.01",29,80,1036059,1346071
2010,"25025020200","Census Tract 202",9,32,320116,787171
2010,"25025020301","Census Tract 203.01",10,42,429471,2788194
2010,"25025020302","Census Tract 203.02",7,29,292763,1921201
2010,"25025020304","Census Tract 203.04",1,3,32090,210584
2010,"25025020305","Census Tract 203.05",15,61,620563,4072331
2010,"25025030100","Census Tract 301",6,7,1403779,33551
2010,"25025030200","Census Tract 302",12,27,904538,1499064
2010,"25025030301","Census Tract 303.01",34,157,2998633,7542848
2010,"25025030302","Census Tract 303.02",40,186,3563843,8964592
2010,"25025030400","Census Tract 304",59,248,4332701,11137283
2010,"25025030500","Census Tract 305",12,28,1834575,732757
2010,"25025040100","Census Tract 401",4,33,40261,1775526
2010,"25025040200","Census Tract 402",2,7,14762,216069
2010,"25025040300","Census Tract 403",4,19,50998,181176
2010,"25025040401","Census Tract 404.01",13,29,2380788,347590
2010,"25025040600","Census Tract 406",10,62,346248,5428572
2010,"25025040801","Census Tract 408.01",5,56,49656,4831362
2010,"25025050101","Census Tract 501.01",4,13,1076320,594526
2010,"25025050200","Census Tract 502",4,15,76497,91259
2010,"25025050300","Census Tract 503",4,9,122126,229490
2010,"25025050400","Census Tract 504",8,12,1167579,83207
2010,"25025050500","Census Tract 505",2,13,18789,1207841
2010,"25025050600","Census Tract 506",10,27,297934,581105
2010,"25025050700","Census Tract 507",8,10,391877,40261
2010,"25025050901","Census Tract 509.01",9,34,410666,434823
2010,"25025051000","Census Tract 510",11,29,583790,1132686
2010,"25025051101","Census Tract 511.01",10,45,417376,178492
2010,"25025051200","Census Tract 512",11,24,538160,781070
2010,"25025060101","Census Tract 601.01",6,14,75154,234858
2010,"25025060200","Census Tract 602",2,12,205333,802543
2010,"25025060301","Census Tract 603.01",4,18,63076,93943
2010,"25025060400","Census Tract 604",8,26,44287,128836
2010,"25025060501","Census Tract 605.01",26,78,1095109,5509095
2010,"25025060601","Census Tract 606.01",31,163,3404358,14632733
2010,"25025060602","Census Tract 606.02",2,10,214309,921152
2010,"25025060604","Census Tract 606.04",8,45,944285,4058758
2010,"25025060700","Census Tract 607",0,1,0,8052
2010,"25025060800","Census Tract 608",7,22,1316546,319407
2010,"25025061000","Census Tract 610",0,6,0,157019
2010,"25025061101","Census Tract 611.01",1,4,5368,2684
2010,"25025061201","Census Tract 612.01",21,101,2022764,7221238
2010,"25025061202","Census Tract 612.02",,,,
2010,"25025061203","Census Tract 612.03",6,26,528191,1885635
2010,"25025061204","Census Tract 612.04",1,5,104951,374674
2010,"25025070102","Census Tract 701.02",84,368,5634127,29921720
2010,"25025070104","Census Tract 701.04",36,160,2502226,12584812
2010,"25025070201","Census Tract 702.01",10,34,175406,917012
2010,"25025070202","Census Tract 702.02",55,234,3203871,16999405
2010,"25025070301","Census Tract 703.01",28,91,1998932,3559764
2010,"25025070302","Census Tract 703.02",20,64,1417914,2525068
2010,"25025070402","Census Tract 704.02",4,15,535476,221437
2010,"25025070501","Census Tract 705.01",9,36,490518,760230
2010,"25025070502","Census Tract 705.02",16,64,868974,1346781
2010,"25025070600","Census Tract 706",15,44,1427936,1142080
2010,"25025070700","Census Tract 707",17,50,1191736,2072117
2010,"25025070801","Census Tract 708.01",2,6,34658,143530
2010,"25025070802","Census Tract 708.02",6,16,88810,367789
2010,"25025070901","Census Tract 709.01",3,11,101953,253155
2010,"25025070902","Census Tract 709.02",5,24,214770,533284
2010,"25025071101","Census Tract 711.01",10,36,208017,319407
2010,"25025071201","Census Tract 712.01",16,95,578421,4391171
2010,"25025080100","Census Tract 801",5,84,305986,10286774
2010,"25025080300","Census Tract 803",3,7,1209182,24157
2010,"25025080401","Census Tract 804.01",6,18,119999,367992
2010,"25025080500","Census Tract 805",3,7,179277,18517
2010,"25025080601","Census Tract 806.01",4,7,1176973,569027
2010,"25025080801","Census Tract 808.01",0,2,0,8331
2010,"25025080900","Census Tract 809",11,20,318065,648208
2010,"25025081001","Census Tract 810.01",9,17,189228,183860
2010,"25025081101","Census Tract 811.01",2,12,12349,215284
2010,"25025081102","Census Tract 811.02",3,26,27912,486605
2010,"25025081200","Census Tract 812",1,6,17253,25216
2010,"25025081301","Census Tract 813.01",2,4,13237,18652
2010,"25025081302","Census Tract 813.02",2,5,16288,22951
2010,"25025081400","Census Tract 814",9,24,179834,84549
