YEAR,GEOID,native,foreign,NAME
1990,25025060400,4636,329,Census Tract 604
1990,25025060501,3265,296,Census Tract 605.01
1990,25025060601,831,22,Census Tract 606.01
1990,25025060602,56,3,Census Tract 606.02
1990,25025060603,37,1,Census Tract 606.03
1990,25025060604,119,3,Census Tract 606.04
1990,25025060700,1230,96,Census Tract 607
1990,25025060800,3013,206,Census Tract 608
1990,25025061000,2502,187,Census Tract 610
1990,25025061101,1803,168,Census Tract 611.01
1990,25025061201,1237,224,Census Tract 612.01
1990,25025061202,,,Census Tract 612.02
1990,25025061203,390,79,Census Tract 612.03
1990,25025061204,75,15,Census Tract 612.04
1990,25025070102,388,443,Census Tract 701.02
1990,25025070103,27,31,Census Tract 701.03
1990,25025070104,147,168,Census Tract 701.04
1990,25025070201,339,805,Census Tract 702.01
1990,25025070202,956,1789,Census Tract 702.02
1990,25025070301,1711,403,Census Tract 703.01
1990,25025070302,1055,248,Census Tract 703.02
1990,25025070402,730,985,Census Tract 704.02
1990,25025070501,1652,418,Census Tract 705.01
1990,25025070502,2986,754,Census Tract 705.02
1990,25025070600,2057,291,Census Tract 706
1990,25025070700,1857,341,Census Tract 707
1990,25025070801,767,95,Census Tract 708.01
1990,25025070802,2141,264,Census Tract 708.02
1990,25025070901,957,102,Census Tract 709.01
1990,25025070902,1614,171,Census Tract 709.02
1990,25025071101,2200,550,Census Tract 711.01
1990,25025071201,1169,316,Census Tract 712.01
1990,25025080100,1343,529,Census Tract 801
1990,25025080300,2295,252,Census Tract 803
1990,25025080401,2471,303,Census Tract 804.01
1990,25025080500,2708,444,Census Tract 805
1990,25025080601,1611,109,Census Tract 806.01
1990,25025080801,3848,325,Census Tract 808.01
1990,25025080900,2407,742,Census Tract 809
1990,25025081001,3517,1374,Census Tract 810.01
1990,25025081101,941,294,Census Tract 811.01
1990,25025081102,1953,597,Census Tract 811.02
1990,25025081200,2769,521,Census Tract 812
1990,25025081301,1613,234,Census Tract 813.01
1990,25025081302,2254,326,Census Tract 813.02
1990,25025081400,2148,424,Census Tract 814
1990,25025081500,2113,275,Census Tract 815
1990,25025081700,3383,330,Census Tract 817
1990,25025081800,2490,439,Census Tract 818
1990,25025081900,2801,476,Census Tract 819
1990,25025082000,3035,158,Census Tract 820
1990,25025082100,3799,824,Census Tract 821
1990,25025090100,3640,700,Census Tract 901
1990,25025090200,1746,358,Census Tract 902
1990,25025090300,2548,319,Census Tract 903
1990,25025090400,2318,484,Census Tract 904
1990,25025090600,1270,762,Census Tract 906
1990,25025090700,2996,1185,Census Tract 907
1990,25025090901,2088,145,Census Tract 909.01
1990,25025091001,2107,594,Census Tract 910.01
1990,25025091100,3649,1073,Census Tract 911
1990,25025091200,2652,642,Census Tract 912
1990,25025091300,1349,1106,Census Tract 913
1990,25025091400,1780,539,Census Tract 914
1990,25025091500,2853,1667,Census Tract 915
1990,25025091600,2220,677,Census Tract 916
1990,25025091700,2228,942,Census Tract 917
1990,25025091800,2430,1073,Census Tract 918
1990,25025091900,3318,843,Census Tract 919
1990,25025092000,3708,1256,Census Tract 920
1990,25025092101,4695,1143,Census Tract 921.01
